Key,Source,Context,English
quest_FuriousRamsayBuilderDisciplesTraining_Tier2_response,Quests,Quests,Crowd Control
quest_FuriousRamsayBuilderDisciplesTraining_Tier2_statement,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayBuilderDisciplesTraining_Tier3_subtitle,Quests,Quests,"Crowd Control (Tier 3)"
quest_FuriousRamsayBuilderDisciplesTraining_Tier3_description,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayBuilderDisciplesTraining_Tier3_title,Quests,Quests,Crowd Control
quest_FuriousRamsayBuilderDisciplesTraining_Tier3_offer,Quests,Quests,"One of the most important lessons you can be taught right now is to control a crowd.\n\nI'll get some of my students to show up and give you a run for your money.\n\nDon't worry about hurting them, they're resilient, they'll bounce back."
quest_FuriousRamsayBuilderDisciplesTraining_Tier3_response,Quests,Quests,Crowd Control
quest_FuriousRamsayBuilderDisciplesTraining_Tier3_statement,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayBuilderDisciplesTraining_Tier4_subtitle,Quests,Quests,"Crowd Control (Tier 4)"
quest_FuriousRamsayBuilderDisciplesTraining_Tier4_description,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayBuilderDisciplesTraining_Tier4_title,Quests,Quests,Crowd Control
quest_FuriousRamsayBuilderDisciplesTraining_Tier4_offer,Quests,Quests,"One of the most important lessons you can be taught right now is to control a crowd.\n\nI'll get some of my students to show up and give you a run for your money.\n\nDon't worry about hurting them, they're resilient, they'll bounce back."
quest_FuriousRamsayBuilderDisciplesTraining_Tier4_response,Quests,Quests,Crowd Control
quest_FuriousRamsayBuilderDisciplesTraining_Tier4_statement,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayBuilderDisciplesTraining_Tier5_subtitle,Quests,Quests,"Crowd Control (Tier 5)"
quest_FuriousRamsayBuilderDisciplesTraining_Tier5_description,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayBuilderDisciplesTraining_Tier5_title,Quests,Quests,Crowd Control
quest_FuriousRamsayBuilderDisciplesTraining_Tier5_offer,Quests,Quests,"One of the most important lessons you can be taught right now is to control a crowd.\n\nI'll get some of my students to show up and give you a run for your money.\n\nDon't worry about hurting them, they're resilient, they'll bounce back."
quest_FuriousRamsayBuilderDisciplesTraining_Tier5_response,Quests,Quests,Crowd Control
quest_FuriousRamsayBuilderDisciplesTraining_Tier5_statement,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"

quest_FuriousRamsayChefDisciplesTraining_Tier1_subtitle,Quests,Quests,"Crowd Control (Tier 1)"
quest_FuriousRamsayChefDisciplesTraining_Tier1_description,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayChefDisciplesTraining_Tier1_title,Quests,Quests,Crowd Control
quest_FuriousRamsayChefDisciplesTraining_Tier1_offer,Quests,Quests,"One of the most important lessons you can be taught right now is to control a crowd.\n\nI'll get some of my students to show up and give you a run for your money.\n\nDon't worry about hurting them, they're resilient, they'll bounce back."
quest_FuriousRamsayChefDisciplesTraining_Tier1_response,Quests,Quests,Crowd Control
quest_FuriousRamsayChefDisciplesTraining_Tier1_statement,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayChefDisciplesTraining_Tier2_subtitle,Quests,Quests,"Crowd Control (Tier 2)"
quest_FuriousRamsayChefDisciplesTraining_Tier2_description,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayChefDisciplesTraining_Tier2_title,Quests,Quests,Crowd Control
quest_FuriousRamsayChefDisciplesTraining_Tier2_offer,Quests,Quests,"One of the most important lessons you can be taught right now is to control a crowd.\n\nI'll get some of my students to show up and give you a run for your money.\n\nDon't worry about hurting them, they're resilient, they'll bounce back."
quest_FuriousRamsayChefDisciplesTraining_Tier2_response,Quests,Quests,Crowd Control
quest_FuriousRamsayChefDisciplesTraining_Tier2_statement,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayChefDisciplesTraining_Tier3_subtitle,Quests,Quests,"Crowd Control (Tier 3)"
quest_FuriousRamsayChefDisciplesTraining_Tier3_description,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayChefDisciplesTraining_Tier3_title,Quests,Quests,Crowd Control
quest_FuriousRamsayChefDisciplesTraining_Tier3_offer,Quests,Quests,"One of the most important lessons you can be taught right now is to control a crowd.\n\nI'll get some of my students to show up and give you a run for your money.\n\nDon't worry about hurting them, they're resilient, they'll bounce back."
quest_FuriousRamsayChefDisciplesTraining_Tier3_response,Quests,Quests,Crowd Control
quest_FuriousRamsayChefDisciplesTraining_Tier3_statement,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayChefDisciplesTraining_Tier4_subtitle,Quests,Quests,"Crowd Control (Tier 4)"
quest_FuriousRamsayChefDisciplesTraining_Tier4_description,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayChefDisciplesTraining_Tier4_title,Quests,Quests,Crowd Control
quest_FuriousRamsayChefDisciplesTraining_Tier4_offer,Quests,Quests,"One of the most important lessons you can be taught right now is to control a crowd.\n\nI'll get some of my students to show up and give you a run for your money.\n\nDon't worry about hurting them, they're resilient, they'll bounce back."
quest_FuriousRamsayChefDisciplesTraining_Tier4_response,Quests,Quests,Crowd Control
quest_FuriousRamsayChefDisciplesTraining_Tier4_statement,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayChefDisciplesTraining_Tier5_subtitle,Quests,Quests,"Crowd Control (Tier 5)"
quest_FuriousRamsayChefDisciplesTraining_Tier5_description,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"
quest_FuriousRamsayChefDisciplesTraining_Tier5_title,Quests,Quests,Crowd Control
quest_FuriousRamsayChefDisciplesTraining_Tier5_offer,Quests,Quests,"One of the most important lessons you can be taught right now is to control a crowd.\n\nI'll get some of my students to show up and give you a run for your money.\n\nDon't worry about hurting them, they're resilient, they'll bounce back."
quest_FuriousRamsayChefDisciplesTraining_Tier5_response,Quests,Quests,Crowd Control
quest_FuriousRamsayChefDisciplesTraining_Tier5_statement,Quests,Quests,"Your trainer will send some of his disciples to test your abilities in controlling a crowd"

FuriousRamsayScrapRepairKit,items,Items,Scrap Iron Repair Kit
FuriousRamsayScrapRepairKitDesc,items,Items,"Primitive kit used to repair all scrap iron tools."

FuriousRamsayBook,items,Items,Books
FuriousRamsayBookDesc,items,Items,"There's nothing special about this book other than it's a good source of paper."

FuriousRamsayTrainerSpear,items,Items,Hunter Training Spear
FuriousRamsayTrainerSpearDesc,items,Items,"Use this Spear to signal the Hunter trainer when you've had enough training.\n\nSimply damage them with it and training will stop.\n\nCannot be used in any other situation, will do no damage."

FuriousRamsayTrainerClub,items,Items,Thug Training Club
FuriousRamsayTrainerClubDesc,items,Items,"Use this Club to signal the Thug trainer when you've had enough training.\n\nSimply damage them with it and training will stop.\n\nCannot be used in any other situation, will do no damage."

FuriousRamsayTrainerMachete,items,Items,Butcher Training Machete
FuriousRamsayTrainerMacheteDesc,items,Items,"Use this Machete to signal the Butcher trainer when you've had enough training.\n\nSimply damage them with it and training will stop.\n\nCannot be used in any other situation, will do no damage."

FuriousRamsayTrainerKuckles,items,Items,Soldier Training Kuckles
FuriousRamsayTrainerKucklesDesc,items,Items,"Use these Kuckles to signal the Soldier trainer when you've had enough training.\n\nSimply damage them with them and training will stop.\n\nCannot be used in any other situation, will do no damage."

FuriousRamsayTrainerStun Baton,items,Items,Technogeek Training Stun Baton
FuriousRamsayTrainerStun BatonDesc,items,Items,"Use this Stun Baton to signal the Technogeek trainer when you've had enough training.\n\nSimply damage them with it and training will stop.\n\nCannot be used in any other situation, will do no damage."

FuriousRamsayTrainerAxe,items,Items,Madman Training Axe
FuriousRamsayTrainerAxeDesc,items,Items,"Use this Axe to signal the Madman trainer when you've had enough training.\n\nSimply damage them with it and training will stop.\n\nCannot be used in any other situation, will do no damage."

FuriousRamsayTrainerHammer,items,Items,Builder Training Hammer
FuriousRamsayTrainerHammerDesc,items,Items,"Use this Hammer to signal the Builder trainer when you've had enough training.\n\nSimply damage them with it and training will stop.\n\nCannot be used in any other situation, will do no damage."

FuriousRamsayTrainerKnife,items,Items,Chef Training Knife
FuriousRamsayTrainerKnifeDesc,items,Items,"Use this Knife to signal the Chef trainer when you've had enough training.\n\nSimply damage them with it and training will stop.\n\nCannot be used in any other situation, will do no damage."

FuriousRamsayHunterTrainerTier1,entityclasses,Entity,Hunter Trainer (Tier 1)
FuriousRamsayHunterTrainerTier2,entityclasses,Entity,Hunter Trainer (Tier 2)
FuriousRamsayHunterTrainerTier3,entityclasses,Entity,Hunter Trainer (Tier 3)
FuriousRamsayHunterTrainerTier4,entityclasses,Entity,Hunter Trainer (Tier 4)
FuriousRamsayHunterTrainerTier5,entityclasses,Entity,Hunter Trainer (Tier 5)

FuriousRamsayThugTrainerTier1,entityclasses,Entity,Thug Trainer (Tier 1)
FuriousRamsayThugTrainerTier2,entityclasses,Entity,Thug Trainer (Tier 2)
FuriousRamsayThugTrainerTier3,entityclasses,Entity,Thug Trainer (Tier 3)
FuriousRamsayThugTrainerTier4,entityclasses,Entity,Thug Trainer (Tier 4)
FuriousRamsayThugTrainerTier5,entityclasses,Entity,Thug Trainer (Tier 5)

FuriousRamsayButcherTrainerTier1,entityclasses,Entity,Butcher Trainer (Tier 1)
FuriousRamsayButcherTrainerTier2,entityclasses,Entity,Butcher Trainer (Tier 2)
FuriousRamsayButcherTrainerTier3,entityclasses,Entity,Butcher Trainer (Tier 3)
FuriousRamsayButcherTrainerTier4,entityclasses,Entity,Butcher Trainer (Tier 4)
FuriousRamsayButcherTrainerTier5,entityclasses,Entity,Butcher Trainer (Tier 5)

FuriousRamsaySoldierTrainerTier1,entityclasses,Entity,Soldier Trainer (Tier 1)
FuriousRamsaySoldierTrainerTier2,entityclasses,Entity,Soldier Trainer (Tier 2)
FuriousRamsaySoldierTrainerTier3,entityclasses,Entity,Soldier Trainer (Tier 3)
FuriousRamsaySoldierTrainerTier4,entityclasses,Entity,Soldier Trainer (Tier 4)
FuriousRamsaySoldierTrainerTier5,entityclasses,Entity,Soldier Trainer (Tier 5)

FuriousRamsayTechnogeekTrainerTier1,entityclasses,Entity,Technogeek Trainer (Tier 1)
FuriousRamsayTechnogeekTrainerTier2,entityclasses,Entity,Technogeek Trainer (Tier 2)
FuriousRamsayTechnogeekTrainerTier3,entityclasses,Entity,Technogeek Trainer (Tier 3)
FuriousRamsayTechnogeekTrainerTier4,entityclasses,Entity,Technogeek Trainer (Tier 4)
FuriousRamsayTechnogeekTrainerTier5,entityclasses,Entity,Technogeek Trainer (Tier 5)

FuriousRamsayMadmanTrainerTier1,entityclasses,Entity,Madman Trainer (Tier 1)
FuriousRamsayMadmanTrainerTier2,entityclasses,Entity,Madman Trainer (Tier 2)
FuriousRamsayMadmanTrainerTier3,entityclasses,Entity,Madman Trainer (Tier 3)
FuriousRamsayMadmanTrainerTier4,entityclasses,Entity,Madman Trainer (Tier 4)
FuriousRamsayMadmanTrainerTier5,entityclasses,Entity,Madman Trainer (Tier 5)

FuriousRamsayBuilderTrainerTier1,entityclasses,Entity,Builder Trainer (Tier 1)
FuriousRamsayBuilderTrainerTier2,entityclasses,Entity,Builder Trainer (Tier 2)
FuriousRamsayBuilderTrainerTier3,entityclasses,Entity,Builder Trainer (Tier 3)
FuriousRamsayBuilderTrainerTier4,entityclasses,Entity,Builder Trainer (Tier 4)
FuriousRamsayBuilderTrainerTier5,entityclasses,Entity,Builder Trainer (Tier 5)

FuriousRamsayChefTrainerTier1,entityclasses,Entity,Chef Trainer (Tier 1)
FuriousRamsayChefTrainerTier2,entityclasses,Entity,Chef Trainer (Tier 2)
FuriousRamsayChefTrainerTier3,entityclasses,Entity,Chef Trainer (Tier 3)
FuriousRamsayChefTrainerTier4,entityclasses,Entity,Chef Trainer (Tier 4)
FuriousRamsayChefTrainerTier5,entityclasses,Entity,Chef Trainer (Tier 5)


FuriousRamsayStarterArmorHeadHunter,items,Clothes,Hunter Training Hood
FuriousRamsayStarterArmorHeadHunterDesc,items,Items,"Hunter Training Hood Description"
FuriousRamsayStarterArmorChestHunter,items,Clothes,Hunter Training Shirt
FuriousRamsayStarterArmorChestHunterDesc,items,Items,"Hunter Training Shirt Description"
FuriousRamsayStarterArmorPonchoHunter,items,Clothes,Hunter Training Chest Protection
FuriousRamsayStarterArmorPonchoHunterDesc,items,Items,"Hunter Training Chest Protection Description"
FuriousRamsayStarterArmorGlovesHunter,items,Clothes,Hunter Training Gloves
FuriousRamsayStarterArmorGlovesHunterDesc,items,Items,"Hunter Training Gloves Description"
FuriousRamsayStarterArmorLegsHunter,items,Clothes,Hunter Training Pants
FuriousRamsayStarterArmorLegsHunterDesc,items,Items,"Hunter Training Pants Description"
FuriousRamsayStarterArmorBootsHunter,items,Clothes,Hunter Training Boots
FuriousRamsayStarterArmorBootsHunterDesc,items,Items,"Hunter Training Boots Description"
FuriousRamsayStarterArmorHeadThug,items,Clothes,Thug Training Hood
FuriousRamsayStarterArmorHeadThugDesc,items,Items,"Thug Training Hood Description"
FuriousRamsayStarterArmorChestThug,items,Clothes,Thug Training Shirt
FuriousRamsayStarterArmorChestThugDesc,items,Items,"Thug Training Shirt Description"
FuriousRamsayStarterArmorPonchoThug,items,Clothes,Thug Training Chest Protection
FuriousRamsayStarterArmorPonchoThugDesc,items,Items,"Thug Training Chest Protection Description"
FuriousRamsayStarterArmorGlovesThug,items,Clothes,Thug Training Gloves
FuriousRamsayStarterArmorGlovesThugDesc,items,Items,"Thug Training Gloves Description"
FuriousRamsayStarterArmorLegsThug,items,Clothes,Thug Training Pants
FuriousRamsayStarterArmorLegsThugDesc,items,Items,"Thug Training Pants Description"
FuriousRamsayStarterArmorBootsThug,items,Clothes,Thug Training Boots
FuriousRamsayStarterArmorBootsThugDesc,items,Items,"Thug Training Boots Description"
FuriousRamsayStarterArmorHeadButcher,items,Clothes,Butcher Training Hood
FuriousRamsayStarterArmorHeadButcherDesc,items,Items,"Butcher Training Hood Description"
FuriousRamsayStarterArmorChestButcher,items,Clothes,Butcher Training Shirt
FuriousRamsayStarterArmorChestButcherDesc,items,Items,"Butcher Training Shirt Description"
FuriousRamsayStarterArmorPonchoButcher,items,Clothes,Butcher Training Chest Protection
FuriousRamsayStarterArmorPonchoButcherDesc,items,Items,"Butcher Training Chest Protection Description"
FuriousRamsayStarterArmorGlovesButcher,items,Clothes,Butcher Training Gloves
FuriousRamsayStarterArmorGlovesButcherDesc,items,Items,"Butcher Training Gloves Description"
FuriousRamsayStarterArmorLegsButcher,items,Clothes,Butcher Training Pants
FuriousRamsayStarterArmorLegsButcherDesc,items,Items,"Butcher Training Pants Description"
FuriousRamsayStarterArmorBootsButcher,items,Clothes,Butcher Training Boots
FuriousRamsayStarterArmorBootsButcherDesc,items,Items,"Butcher Training Boots Description"
FuriousRamsayStarterArmorHeadSoldier,items,Clothes,Soldier Training Hood
FuriousRamsayStarterArmorHeadSoldierDesc,items,Items,"Soldier Training Hood Description"
FuriousRamsayStarterArmorChestSoldier,items,Clothes,Soldier Training Shirt
FuriousRamsayStarterArmorChestSoldierDesc,items,Items,"Soldier Training Shirt Description"
FuriousRamsayStarterArmorPonchoSoldier,items,Clothes,Soldier Training Chest Protection
FuriousRamsayStarterArmorPonchoSoldierDesc,items,Items,"Soldier Training Chest Protection Description"
FuriousRamsayStarterArmorGlovesSoldier,items,Clothes,Soldier Training Gloves
FuriousRamsayStarterArmorGlovesSoldierDesc,items,Items,"Soldier Training Gloves Description"
FuriousRamsayStarterArmorLegsSoldier,items,Clothes,Soldier Training Pants
FuriousRamsayStarterArmorLegsSoldierDesc,items,Items,"Soldier Training Pants Description"
FuriousRamsayStarterArmorBootsSoldier,items,Clothes,Soldier Training Boots
FuriousRamsayStarterArmorBootsSoldierDesc,items,Items,"Soldier Training Boots Description"
FuriousRamsayStarterArmorHeadTechnogeek,items,Clothes,Technogeek Training Hood
FuriousRamsayStarterArmorHeadTechnogeekDesc,items,Items,"Technogeek Training Hood Description"
FuriousRamsayStarterArmorChestTechnogeek,items,Clothes,Technogeek Training Shirt
FuriousRamsayStarterArmorChestTechnogeekDesc,items,Items,"Technogeek Training Shirt Description"
FuriousRamsayStarterArmorPonchoTechnogeek,items,Clothes,Technogeek Training Chest Protection
FuriousRamsayStarterArmorPonchoTechnogeekDesc,items,Items,"Technogeek Training Chest Protection Description"
FuriousRamsayStarterArmorGlovesTechnogeek,items,Clothes,Technogeek Training Gloves
FuriousRamsayStarterArmorGlovesTechnogeekDesc,items,Items,"Technogeek Training Gloves Description"
FuriousRamsayStarterArmorLegsTechnogeek,items,Clothes,Technogeek Training Pants
FuriousRamsayStarterArmorLegsTechnogeekDesc,items,Items,"Technogeek Training Pants Description"
FuriousRamsayStarterArmorBootsTechnogeek,items,Clothes,Technogeek Training Boots
FuriousRamsayStarterArmorBootsTechnogeekDesc,items,Items,"Technogeek Training Boots Description"
FuriousRamsayStarterArmorHeadMadman,items,Clothes,Madman Training Hood
FuriousRamsayStarterArmorHeadMadmanDesc,items,Items,"Madman Training Hood Description"
FuriousRamsayStarterArmorChestMadman,items,Clothes,Madman Training Shirt
FuriousRamsayStarterArmorChestMadmanDesc,items,Items,"Madman Training Shirt Description"
FuriousRamsayStarterArmorPonchoMadman,items,Clothes,Madman Training Chest Protection
FuriousRamsayStarterArmorPonchoMadmanDesc,items,Items,"Madman Training Chest Protection Description"
FuriousRamsayStarterArmorGlovesMadman,items,Clothes,Madman Training Gloves
FuriousRamsayStarterArmorGlovesMadmanDesc,items,Items,"Madman Training Gloves Description"
FuriousRamsayStarterArmorLegsMadman,items,Clothes,Madman Training Pants
FuriousRamsayStarterArmorLegsMadmanDesc,items,Items,"Madman Training Pants Description"
FuriousRamsayStarterArmorBootsMadman,items,Clothes,Madman Training Boots
FuriousRamsayStarterArmorBootsMadmanDesc,items,Items,"Madman Training Boots Description"
FuriousRamsayStarterArmorHeadBuilder,items,Clothes,Builder Training Hood
FuriousRamsayStarterArmorHeadBuilderDesc,items,Items,"Builder Training Hood Description"
FuriousRamsayStarterArmorChestBuilder,items,Clothes,Builder Training Shirt
FuriousRamsayStarterArmorChestBuilderDesc,items,Items,"Builder Training Shirt Description"
FuriousRamsayStarterArmorPonchoBuilder,items,Clothes,Builder Training Chest Protection
FuriousRamsayStarterArmorPonchoBuilderDesc,items,Items,"Builder Training Chest Protection Description"
FuriousRamsayStarterArmorGlovesBuilder,items,Clothes,Builder Training Gloves
FuriousRamsayStarterArmorGlovesBuilderDesc,items,Items,"Builder Training Gloves Description"
FuriousRamsayStarterArmorLegsBuilder,items,Clothes,Builder Training Pants
FuriousRamsayStarterArmorLegsBuilderDesc,items,Items,"Builder Training Pants Description"
FuriousRamsayStarterArmorBootsBuilder,items,Clothes,Builder Training Boots
FuriousRamsayStarterArmorBootsBuilderDesc,items,Items,"Builder Training Boots Description"
FuriousRamsayStarterArmorHeadChef,items,Clothes,Chef Training Hood
FuriousRamsayStarterArmorHeadChefDesc,items,Items,"Chef Training Hood Description"
FuriousRamsayStarterArmorChestChef,items,Clothes,Chef Training Shirt
FuriousRamsayStarterArmorChestChefDesc,items,Items,"Chef Training Shirt Description"
FuriousRamsayStarterArmorPonchoChef,items,Clothes,Chef Training Chest Protection
FuriousRamsayStarterArmorPonchoChefDesc,items,Items,"Chef Training Chest Protection Description"
FuriousRamsayStarterArmorGlovesChef,items,Clothes,Chef Training Gloves
FuriousRamsayStarterArmorGlovesChefDesc,items,Items,"Chef Training Gloves Description"
FuriousRamsayStarterArmorLegsChef,items,Clothes,Chef Training Pants
FuriousRamsayStarterArmorLegsChefDesc,items,Items,"Chef Training Pants Description"
FuriousRamsayStarterArmorBootsChef,items,Clothes,Chef Training Boots
FuriousRamsayStarterArmorBootsChefDesc,items,Items,"Chef Training Boots Description"

quest_FuriousRamsayPlacedTrainerHunter_title,Quest,Quest Info,"Path of the Hunter"
quest_FuriousRamsayPlacedTrainerHunter,Quest,Quest Info,"As you wait for Olivia to arrive, that gutwrenching feeling you've had since you woke up from this morning's events starts to dissipate.\n\nYou find yourself surrounded by people who genuinely want to help you. Maybe this is your tribe?"
quest_FuriousRamsayPlacedTrainerThug_title,Quest,Quest Info,"Path of the Thug"
quest_FuriousRamsayPlacedTrainerThug,Quest,Quest Info,"As you wait for Isaac to arrive, that gutwrenching feeling you've had since you woke up from this morning's events starts to dissipate.\n\nYou find yourself surrounded by people who genuinely want to help you. Maybe this is your tribe?"
quest_FuriousRamsayPlacedTrainerButcher_title,Quest,Quest Info,"Path of the Butcher"
quest_FuriousRamsayPlacedTrainerButcher,Quest,Quest Info,"As you wait for Hank to arrive, that gutwrenching feeling you've had since you woke up from this morning's events starts to dissipate.\n\nYou find yourself surrounded by people who genuinely want to help you. Maybe this is your tribe?"
quest_FuriousRamsayPlacedTrainerSoldier_title,Quest,Quest Info,"Path of the Soldier"
quest_FuriousRamsayPlacedTrainerSoldier,Quest,Quest Info,"As you wait for Elias to arrive, that gutwrenching feeling you've had since you woke up from this morning's events starts to dissipate.\n\nYou find yourself surrounded by people who genuinely want to help you. Maybe this is your tribe?"
quest_FuriousRamsayPlacedTrainerTechnogeek_title,Quest,Quest Info,"Path of the Technogeek"
quest_FuriousRamsayPlacedTrainerTechnogeek,Quest,Quest Info,"As you wait for Scarlett to arrive, that gutwrenching feeling you've had since you woke up from this morning's events starts to dissipate.\n\nYou find yourself surrounded by people who genuinely want to help you. Maybe this is your tribe?"
quest_FuriousRamsayPlacedTrainerMadman_title,Quest,Quest Info,"Path of the Madman"
quest_FuriousRamsayPlacedTrainerMadman,Quest,Quest Info,"As you wait for Liam to arrive, that gutwrenching feeling you've had since you woke up from this morning's events starts to dissipate.\n\nYou find yourself surrounded by people who genuinely want to help you. Maybe this is your tribe?"
quest_FuriousRamsayPlacedTrainerBuilder_title,Quest,Quest Info,"Path of the Builder"
quest_FuriousRamsayPlacedTrainerBuilder,Quest,Quest Info,"As you wait for Vince to arrive, that gutwrenching feeling you've had since you woke up from this morning's events starts to dissipate.\n\nYou find yourself surrounded by people who genuinely want to help you. Maybe this is your tribe?"
quest_FuriousRamsayPlacedTrainerChef_title,Quest,Quest Info,"Path of the Chef"
quest_FuriousRamsayPlacedTrainerChef,Quest,Quest Info,"As you wait for Helen to arrive, that gutwrenching feeling you've had since you woke up from this morning's events starts to dissipate.\n\nYou find yourself surrounded by people who genuinely want to help you. Maybe this is your tribe?"

qc_FuriousRamsayHunterTraining,items,Quest,Hunter Training Instructions
qc_FuriousRamsayHunterTrainingDesc,items,Quest,Instructions detailing how to start on the path of the Hunter
qc_FuriousRamsayThugTraining,items,Quest,Thug Training Instructions
qc_FuriousRamsayThugTrainingDesc,items,Quest,Instructions detailing how to start on the path of the Thug
qc_FuriousRamsayButcherTraining,items,Quest,Butcher Training Instructions
qc_FuriousRamsayButcherTrainingDesc,items,Quest,Instructions detailing how to start on the path of the Butcher
qc_FuriousRamsaySoldierTraining,items,Quest,Soldier Training Instructions
qc_FuriousRamsaySoldierTrainingDesc,items,Quest,Instructions detailing how to start on the path of the Soldier
qc_FuriousRamsayTechnogeekTraining,items,Quest,Technogeek Training Instructions
qc_FuriousRamsayTechnogeekTrainingDesc,items,Quest,Instructions detailing how to start on the path of the Technogeek
qc_FuriousRamsayMadmanTraining,items,Quest,Madman Training Instructions
qc_FuriousRamsayMadmanTrainingDesc,items,Quest,Instructions detailing how to start on the path of the Madman
qc_FuriousRamsayBuilderTraining,items,Quest,Builder Training Instructions
qc_FuriousRamsayBuilderTrainingDesc,items,Quest,Instructions detailing how to start on the path of the Builder
qc_FuriousRamsayChefTraining,items,Quest,Sous-Chef Training Instructions
qc_FuriousRamsayChefTrainingDesc,items,Quest,Instructions detailing how to start on the path of the Sous-Chef

quest_FuriousRamsayHunterTraining_subtitle,Quests,Quests,The Path of the Hunter
quest_FuriousRamsayHunterTraining_description,Quests,Quests,"Start down the path of the Hunter"
quest_FuriousRamsayHunterTraining_title,Quests,Quests,The Path of the Hunter
quest_FuriousRamsayHunterTraining_offer,Quests,Quests,"So you think you have what it takes to become a Hunter?\n\nIt's a long journey but Olivia is a great trainer and she'll take good care of you.\n\nReady to begin?\n\n- Briston"
quest_FuriousRamsayThugTraining_subtitle,Quests,Quests,The Path of the Thug
quest_FuriousRamsayThugTraining_description,Quests,Quests,"Start down the path of the Thug"
quest_FuriousRamsayThugTraining_title,Quests,Quests,The Path of the Thug
quest_FuriousRamsayThugTraining_offer,Quests,Quests,"So you think you have what it takes to become a Thug?\n\nIt's a long journey but Isaac is a great trainer and he'll take good care of you.\n\nReady to begin?\n\n- Briston"
quest_FuriousRamsayButcherTraining_subtitle,Quests,Quests,The Path of the Butcher
quest_FuriousRamsayButcherTraining_description,Quests,Quests,"Start down the path of the Butcher"
quest_FuriousRamsayButcherTraining_title,Quests,Quests,The Path of the Butcher
quest_FuriousRamsayButcherTraining_offer,Quests,Quests,"So you think you have what it takes to become a Butcher?\n\nIt's a long journey but Hank is a great trainer and he'll take good care of you.\n\nReady to begin?\n\n- Briston"
quest_FuriousRamsaySoldierTraining_subtitle,Quests,Quests,The Path of the Soldier
quest_FuriousRamsaySoldierTraining_description,Quests,Quests,"Start down the path of the Soldier"
quest_FuriousRamsaySoldierTraining_title,Quests,Quests,The Path of the Soldier
quest_FuriousRamsaySoldierTraining_offer,Quests,Quests,"So you think you have what it takes to become a Soldier?\n\nIt's a long journey but Elias is a great trainer and he'll take good care of you.\n\nReady to begin?\n\n- Briston"
quest_FuriousRamsayTechnogeekTraining_subtitle,Quests,Quests,The Path of the Technogeek
quest_FuriousRamsayTechnogeekTraining_description,Quests,Quests,"Start down the path of the Technogeek"
quest_FuriousRamsayTechnogeekTraining_title,Quests,Quests,The Path of the Technogeek
quest_FuriousRamsayTechnogeekTraining_offer,Quests,Quests,"So you think you have what it takes to become a Technogeek?\n\nIt's a long journey but Scarlett is a great trainer and she'll take good care of you.\n\nReady to begin?\n\n- Briston"
quest_FuriousRamsayMadmanTraining_subtitle,Quests,Quests,The Path of the Madman
quest_FuriousRamsayMadmanTraining_description,Quests,Quests,"Start down the path of the Madman"
quest_FuriousRamsayMadmanTraining_title,Quests,Quests,The Path of the Madman
quest_FuriousRamsayMadmanTraining_offer,Quests,Quests,"So you think you have what it takes to become a Madman?\n\nIt's a long journey but Liam is a great trainer and he'll take good care of you.\n\nReady to begin?\n\n- Briston"
quest_FuriousRamsayBuilderTraining_subtitle,Quests,Quests,The Path of the Builder
quest_FuriousRamsayBuilderTraining_description,Quests,Quests,"Start down the path of the Builder"
quest_FuriousRamsayBuilderTraining_title,Quests,Quests,The Path of the Builder
quest_FuriousRamsayBuilderTraining_offer,Quests,Quests,"So you think you have what it takes to become a Builder?\n\nIt's a long journey but Vince is a great trainer and he'll take good care of you.\n\nReady to begin?\n\n- Briston"
quest_FuriousRamsayChefTraining_subtitle,Quests,Quests,The Path of the Chef
quest_FuriousRamsayChefTraining_description,Quests,Quests,"Start down the path of the Chef"
quest_FuriousRamsayChefTraining_title,Quests,Quests,The Path of the Chef
